Position,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,7,6,0,1,15,8,7,18
2,7,5,0,2,16,8,8,15
3,7,4,2,1,8,7,1,14
4,7,4,1,2,6,5,1,13
5,5,3,1,1,13,4,9,10
6,5,3,1,1,10,4,6,10
7,5,3,0,2,12,6,6,9
8,5,3,0,2,8,3,5,9
9,4,2,0,2,5,4,1,6
10,4,2,0,2,5,7,2,6
11,4,2,0,2,4,6,2,6
12,4,2,0,2,5,9,4,6
13,4,1,2,1,3,4,1,5
14,4,1,1,2,9,3,6,4
15,4,1,1,2,3,5,2,4
16,4,1,1,2,5,8,3,4
17,3,1,1,1,6,5,1,4
18,3,1,1,1,4,3,1,4
19,3,1,1,1,4,4,0,4
20,3,1,1,1,2,2,0,4
21,3,1,1,1,1,1,0,4
22,3,1,1,1,2,3,1,4
23,3,1,1,1,1,2,1,4
24,3,1,0,2,5,7,2,3
25,3,1,0,2,3,5,2,3
26,3,1,0,2,4,7,3,3
27,3,1,0,2,3,11,8,3
28,3,0,1,2,1,3,2,1
29,3,0,1,2,5,8,3,1
30,3,0,1,2,1,6,5,1
31,3,0,0,3,2,7,5,0
32,3,0,0,3,1,7,6,0
